CookerStat, GenerateAssetRegistry=0.196867, Initialize=0.847615, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId46E45BC34A0B28C53ACFC797E1D3CB42_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1423D9F64AA3C05637CC53831EF4EEEF__1_0_13123_0, StartTime=2016.05.05-15.34.57, HierarchicalDDC=, DataSize=347, Duration=2.798084, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId0517927844C9071D81F6FBA3E16D0A47_23, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_81D2F8AF4ABD0EB6EC300FA83D191818__1_0_13123_0, StartTime=2016.05.05-15.34.57, HierarchicalDDC=, DataSize=437, Duration=3.380999, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionIdAFD12FE347583B3F5765BE96AB5B0D64_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9F31EE08438B77429DD38884A9CC63E4__1_0_13123_0, StartTime=2016.05.05-15.34.57, HierarchicalDDC=, DataSize=347, Duration=3.039237, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId0517927844C9071D81F6FBA3E16D0A47_24, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6C397B5248F8049C852D76824A88313A__1_0_13123_0, StartTime=2016.05.05-15.34.58, HierarchicalDDC=, DataSize=458, Duration=1.289476, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId46E45BC34A0B28C53ACFC797E1D3CB42_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B0A3EABB4C62BB28D1A0CBA8DC5C703D__1_0_13123_0, StartTime=2016.05.05-15.34.58, HierarchicalDDC=, DataSize=465, Duration=3.569413, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionIdAFD12FE347583B3F5765BE96AB5B0D64_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2CC003C745060410116D90B619CA8C03__1_0_13123_0, StartTime=2016.05.05-15.34.58, HierarchicalDDC=, DataSize=347, Duration=1.171455, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId0517927844C9071D81F6FBA3E16D0A47_25, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A56234A24D5EF646CCD08EAD928C79F3__1_0_13123_0, StartTime=2016.05.05-15.34.58, HierarchicalDDC=, DataSize=437, Duration=1.413636, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionIdAFD12FE347583B3F5765BE96AB5B0D64_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3B512A6B4E71E189F4563B9D1A0E21CC__1_0_13123_0, StartTime=2016.05.05-15.34.58, HierarchicalDDC=, DataSize=347, Duration=0.972547, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId46E45BC34A0B28C53ACFC797E1D3CB42_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F2CE6511478FA7C3A950CC8D694B7A00__1_0_13123_0, StartTime=2016.05.05-15.34.58, HierarchicalDDC=, DataSize=458, Duration=1.238275, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId0517927844C9071D81F6FBA3E16D0A47_26, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_37C0523E43C5A056753A84A970DA260F__1_0_13123_0, StartTime=2016.05.05-15.34.58, HierarchicalDDC=, DataSize=347, Duration=1.076482, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
