CookerStat, GenerateAssetRegistry=0.199936, Initialize=0.853762, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId9EC1DDAF478F903FDB0A689305F3B76E_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_384331E347A90954153F4B81033D6B5E__1_0_13123_0, StartTime=2016.05.05-19.59.40, HierarchicalDDC=, DataSize=437, Duration=1.460992, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionIdF350BF1F475E794D75B904AFDA53BEEC_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EE937C0A4B7980409A0019A9A5C275A4__1_0_13123_0, StartTime=2016.05.05-19.59.40, HierarchicalDDC=, DataSize=347, Duration=1.127940, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId9EC1DDAF478F903FDB0A689305F3B76E_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9958BFD745716B0F5022C6B22C309EAE__1_0_13123_0, StartTime=2016.05.05-19.59.40, HierarchicalDDC=, DataSize=347, Duration=1.083139, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionIdF350BF1F475E794D75B904AFDA53BEEC_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E096D150490F58D67C48AE99863B7165__1_0_13123_0, StartTime=2016.05.05-19.59.40, HierarchicalDDC=, DataSize=741, Duration=2.764035, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId9EC1DDAF478F903FDB0A689305F3B76E_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_22C197E94EAD19321E6D61875CC23982__1_0_13123_0, StartTime=2016.05.05-19.59.40, HierarchicalDDC=, DataSize=547, Duration=2.906628, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId99A8F854460BDAC91045BC864E22D484_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DF241DAA4A84D0B62B36D19080AB3E03__1_0_13123_0, StartTime=2016.05.05-19.59.40, HierarchicalDDC=, DataSize=691, Duration=2.352901, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionIdF350BF1F475E794D75B904AFDA53BEEC_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9D28CDEE4648264A50340CB1CF821DBC__1_0_13123_0, StartTime=2016.05.05-19.59.40, HierarchicalDDC=, DataSize=449, Duration=2.875138, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId99A8F854460BDAC91045BC864E22D484_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5FFBA7E6484F00C2E788C19A00ECF3D8__1_0_13123_0, StartTime=2016.05.05-19.59.40, HierarchicalDDC=, DataSize=347, Duration=2.340864, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionIdF350BF1F475E794D75B904AFDA53BEEC_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7F1705A94FE1D0D3C8D1A39F6F3E27A7__1_0_13123_0, StartTime=2016.05.05-19.59.42, HierarchicalDDC=, DataSize=458, Duration=2.281990, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId9EC1DDAF478F903FDB0A689305F3B76E_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D0D135554A2B880935B629B2286B42BB__1_0_13123_0, StartTime=2016.05.05-19.59.42, HierarchicalDDC=, DataSize=651, Duration=1.464065, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId99A8F854460BDAC91045BC864E22D484_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_684E3F5142B56760303B86A3B913A1D6__1_0_13123_0, StartTime=2016.05.05-19.59.42, HierarchicalDDC=, DataSize=437, Duration=1.410306, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionIdF350BF1F475E794D75B904AFDA53BEEC_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A679CD5E4E53AB46A00E9FB20F5AA03E__1_0_13123_0, StartTime=2016.05.05-19.59.42, HierarchicalDDC=, DataSize=347, Duration=1.225732, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId9EC1DDAF478F903FDB0A689305F3B76E_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C3F3D6EE4E7713C8DE221CACF50D0262__1_0_13123_0, StartTime=2016.05.05-19.59.42, HierarchicalDDC=, DataSize=347, Duration=1.028609, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId99A8F854460BDAC91045BC864E22D484_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_414E838743DF225A08752DBCC0D378F0__1_0_13123_0, StartTime=2016.05.05-19.59.42, HierarchicalDDC=, DataSize=693, Duration=1.075458, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionIdF350BF1F475E794D75B904AFDA53BEEC_21, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_05CE3C22486A75E379E765A9386A1F52__1_0_13123_0, StartTime=2016.05.05-19.59.42, HierarchicalDDC=, DataSize=471, Duration=2.947587, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId9EC1DDAF478F903FDB0A689305F3B76E_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_80CF0BD348073FE338ADCFBBA88E3DEA__1_0_13123_0, StartTime=2016.05.05-19.59.42, HierarchicalDDC=, DataSize=549, Duration=2.703361, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId99A8F854460BDAC91045BC864E22D484_21, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8EE718FC4CAF4D566A7ACA8A2ED465F6__1_0_13123_0, StartTime=2016.05.05-19.59.42, HierarchicalDDC=, DataSize=385, Duration=2.725638, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId99A8F854460BDAC91045BC864E22D484_22, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B373F0464D3F839A005367AAF89DD0B9__1_0_13123_0, StartTime=2016.05.05-19.59.56, HierarchicalDDC=, DataSize=458, Duration=1.308676, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId9EC1DDAF478F903FDB0A689305F3B76E_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F113AD41410C0CF0D66069891C491DD0__1_0_13123_0, StartTime=2016.05.05-19.59.56, HierarchicalDDC=, DataSize=458, Duration=1.466628, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionIdF350BF1F475E794D75B904AFDA53BEEC_22, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_73FDE63E4EE4B05E9024E4B328DF8B16__1_0_13123_0, StartTime=2016.05.05-19.59.56, HierarchicalDDC=, DataSize=458, Duration=1.488131, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId99A8F854460BDAC91045BC864E22D484_23, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A4508D26413A7B9A8E2F1FBA3C0A180B__1_0_13123_0, StartTime=2016.05.05-19.59.56, HierarchicalDDC=, DataSize=458, Duration=1.276162, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId9EC1DDAF478F903FDB0A689305F3B76E_21, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_44753252414444475E027AB55E2D90F5__1_0_13123_0, StartTime=2016.05.05-19.59.56, HierarchicalDDC=, DataSize=651, Duration=1.295105, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionIdF350BF1F475E794D75B904AFDA53BEEC_23, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_231A5EEA4FD45B8573C2488595F192CC__1_0_13123_0, StartTime=2016.05.05-19.59.56, HierarchicalDDC=, DataSize=437, Duration=0.938497, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId99A8F854460BDAC91045BC864E22D484_24, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B82550074EDDC9764699E1ADFF1C0028__1_0_13123_0, StartTime=2016.05.05-19.59.56, HierarchicalDDC=, DataSize=347, Duration=1.359105, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
